id,host_id,host_name,host_total_listings_count,host_identity_verified,neighbourhood_cleansed,city,zipcode,country,latitude,longitude,property_type,room_type,accommodates,bedrooms,beds,bed_type,price,has_availability,review_scores_rating,instant_bookable,cancellation_policy
1609922,3494510,Katie,1.0,t,Adams,Seattle,98107,United States,47.67166567877917,-122.37791232634322,House,Entire home/apt,5,2.0,2.0,Real Bed,150.00,t,9.4,f,moderate
4236723,2231298,Chris,4.0,t,Adams,Seattle,98107,United States,47.67058142200578,-122.3822111614972,House,Entire home/apt,6,2.0,3.0,Real Bed,195.00,t,9.4,t,moderate
3076065,15655683,Michael,1.0,t,Adams,Seattle,98107,United States,47.671458070061,-122.3791744931495,House,Entire home/apt,5,2.0,2.0,Real Bed,224.00,t,9.6,f,strict
6423204,33367198,Mark And Marti,1.0,t,Adams,Seattle,98107,United States,47.671559770588594,-122.38270398820174,House,Entire home/apt,3,2.0,2.0,Real Bed,115.00,t,9.1,f,strict
8338849,43954674,Brian,3.0,t,Adams,Seattle,98107,United States,47.67283504028537,-122.38747162849462,House,Private room,2,1.0,1.0,Real Bed,55.00,t,9.4,f,flexible
6401209,28770702,Mercy,4.0,t,Adams,Seattle,98107,United States,47.67397128782682,-122.38938054168425,House,Entire home/apt,8,4.0,5.0,Real Bed,338.00,t,9.7,f,strict
20928,79450,Brad & Liz,2.0,t,Adams,Seattle,98107,United States,47.67360709682782,-122.39380285936105,House,Entire home/apt,2,1.0,1.0,Futon,79.00,t,9.7,t,moderate
3344977,16884006,Alex,1.0,t,Adams,Seattle,98107,United States,47.66939869221165,-122.38925404053214,House,Private room,2,1.0,1.0,Real Bed,80.00,t,9.6,f,moderate
7604621,39884676,Will,1.0,f,Adams,Seattle,98107,United States,47.67217669776719,-122.39036168722622,Townhouse,Entire home/apt,2,0.0,1.0,Real Bed,85.00,t,9.5,t,moderate
3303978,16687781,Andrea,1.0,f,Adams,Seattle,98107,United States,47.67349962278431,-122.38696357012668,House,Entire home/apt,2,1.0,1.0,Futon,80.00,t,9.8,f,moderate
7067082,25171396,Heidi,1.0,f,Adams,Seattle,98107,United States,47.66934442551612,-122.38653914653788,Loft,Private room,3,1.0,1.0,Real Bed,49.00,t,9.0,f,moderate
3121829,4152568,Barrie,1.0,t,Adams,Seattle,98107,United States,47.671921801519815,-122.38065681959446,House,Entire home/apt,4,3.0,2.0,Real Bed,100.00,t,9.0,f,moderate
2539881,12503146,Alan,1.0,f,Adams,Seattle,98107,United States,47.66934543707652,-122.3969734650869,Apartment,Entire home/apt,2,1.0,1.0,Real Bed,79.00,t,8.5,f,flexible
3678718,5776729,Ballard Odd Fellows,1.0,t,Adams,Seattle,98107,United States,47.66746397778186,-122.37825532356035,Apartment,Entire home/apt,2,0.0,1.0,Real Bed,75.00,t,9.6,f,moderate
4694479,20069008,Kaiser,2.0,t,Adams,Seattle,98107,United States,47.67181197349134,-122.38898134331578,House,Private room,2,1.0,1.0,Real Bed,57.00,t,9.6,f,moderate
6646843,34793330,Maya And Yoav,1.0,f,West Woodland,Seattle,98107,United States,47.67082046273361,-122.37051108183849,Apartment,Entire home/apt,4,1.0,2.0,Real Bed,99.00,t,8.9,f,moderate
1364440,256203,Shannon,1.0,t,West Woodland,Seattle,98107,United States,47.66373440372556,-122.36208010121663,Apartment,Private room,1,1.0,1.0,Futon,55.00,t,10.0,f,moderate
1781873,2237228,Mimi,1.0,f,West Woodland,Seattle,98107,United States,47.66759680332012,-122.36470165349674,Apartment,Entire home/apt,2,1.0,1.0,Real Bed,96.00,t,9.2,f,strict
4138423,129014,Rob And Molly,2.0,t,West Woodland,Seattle,98107,United States,47.67053238312327,-122.3653184658712,House,Entire home/apt,4,1.0,1.0,Real Bed,99.00,t,9.4,f,moderate
5562674,28840161,Anna,1.0,t,West Woodland,Seattle,98107,United States,47.66676677493285,-122.36882353054044,House,Entire home/apt,4,2.0,2.0,Real Bed,79.00,t,9.5,f,strict
1789341,3979528,Amelia & Foxy,5.0,t,West Woodland,Seattle,98107,United States,47.67235397537273,-122.36617489987724,House,Entire home/apt,2,1.0,1.0,Real Bed,115.00,t,9.9,f,strict
4672934,19993125,Steven,2.0,t,West Woodland,Seattle,98107,United States,47.66583686586745,-122.37013230902768,House,Entire home/apt,10,3.0,5.0,Real Bed,350.00,t,9.8,f,strict
4550099,15104715,Mike & Laura,1.0,t,West Woodland,Seattle,98107,United States,47.67433308471203,-122.3756779846251,House,Entire home/apt,6,3.0,3.0,Real Bed,295.00,t,9.3,f,strict
1198799,6428916,Javier & Yeon,1.0,t,West Woodland,Seattle,98107,United States,47.672691738016646,-122.37355860934434,House,Private room,2,1.0,1.0,Real Bed,70.00,t,9.8,f,moderate
5308429,7849723,Brian,1.0,t,West Woodland,Seattle,98117,United States,47.67529056125138,-122.3704740867495,House,Private room,2,1.0,1.0,Real Bed,53.00,t,9.9,f,flexible
2769088,5067360,Wendy,2.0,t,West Woodland,Seattle,98107,United States,47.66899339456252,-122.36286030212108,House,Entire home/apt,4,2.0,2.0,Real Bed,110.00,t,7.1,f,flexible
7603135,39549545,Alex,1.0,f,West Woodland,Seattle,98107,United States,47.66879474989719,-122.36161253562618,House,Entire home/apt,4,2.0,2.0,Real Bed,225.00,t,9.5,t,flexible
9374365,6407320,Varun,4.0,t,West Woodland,Seattle,98107,United States,47.67388232209365,-122.37462627764069,House,Private room,2,1.0,1.0,Real Bed,35.00,t,9.7,f,strict
6106498,31684830,Yedida,1.0,t,West Woodland,Seattle,98107,United States,47.66578734385211,-122.36199230817006,House,Private room,2,1.0,1.0,Real Bed,55.00,t,9.7,t,moderate
9331449,6407320,Varun,4.0,t,West Woodland,Seattle,98107,United States,47.67228262980748,-122.37316164543348,Townhouse,Private room,2,1.0,1.0,Real Bed,45.00,t,9.0,f,strict
4317390,22414188,Grace,1.0,t,West Woodland,Seattle,98107,United States,47.66880846075268,-122.3662617896586,House,Entire home/apt,8,2.0,6.0,Real Bed,133.00,t,9.5,f,moderate
3884851,19477023,Cindy,1.0,f,West Woodland,Seattle,98107,United States,47.66832396294996,-122.37182116588184,Apartment,Private room,2,1.0,1.0,Real Bed,65.00,t,9.6,f,moderate
3155785,9484588,Kim,1.0,t,West Woodland,Seattle,98107,United States,47.672372403565824,-122.36284167727256,Apartment,Private room,1,1.0,1.0,Real Bed,61.00,t,8.0,f,moderate
5643240,12036205,Sara,1.0,t,West Woodland,Seattle,98107,United States,47.670928653094855,-122.36678178087116,Apartment,Entire home/apt,2,1.0,1.0,Real Bed,70.00,t,9.0,f,moderate
5042014,18413215,Emiliya,2.0,t,West Woodland,Seattle,98107,United States,47.67261671354907,-122.37439272047212,House,Private room,1,1.0,1.0,Pull-out Sofa,52.00,t,9.7,f,moderate
7724630,26877490,Sarah,1.0,f,West Woodland,Seattle,98107,United States,47.67271727544414,-122.3614171313138,Apartment,Private room,2,1.0,1.0,Futon,50.00,t,10.0,f,flexible
3053237,11580391,Shawn,1.0,t,West Woodland,Seattle,98107,United States,47.66454921287359,-122.36820885545076,House,Entire home/apt,2,1.0,1.0,Real Bed,149.00,t,9.9,f,strict
63733,311363,Irmgard,1.0,f,West Woodland,Seattle,98107,United States,47.67171434029387,-122.36588759794856,Apartment,Entire home/apt,2,1.0,1.0,Real Bed,89.00,t,9.7,f,moderate
227636,1187351,Michael,1.0,t,West Woodland,Seattle,98107,United States,47.66807053413411,-122.36208615998127,Apartment,Entire home/apt,3,1.0,2.0,Real Bed,120.00,t,9.7,t,strict
3689119,1375021,Charlotte & Larry,1.0,f,West Woodland,Seattle,98107,United States,47.67212368546617,-122.36500937361328,House,Entire home/apt,2,0.0,1.0,Real Bed,85.00,t,9.8,f,flexible
1179538,6407320,Varun,4.0,t,West Woodland,Seattle,98107,United States,47.67358404078293,-122.37381429203026,House,Private room,4,1.0,2.0,Real Bed,80.00,t,10.0,f,strict
6823781,35742272,Lisa,1.0,t,West Woodland,Seattle,98107,United States,47.66337838362958,-122.36469149710264,House,Entire home/apt,3,1.0,3.0,Real Bed,89.00,t,9.5,t,strict
2284536,129014,Rob And Molly,2.0,t,West Woodland,Seattle,98107,United States,47.66934138807211,-122.36626412798002,House,Entire home/apt,4,1.0,1.0,Real Bed,99.00,t,9.2,f,moderate
5143441,179626,Susan,2.0,t,West Woodland,Seattle,98107,United States,47.66493715631803,-122.36167965105034,Apartment,Entire home/apt,4,1.0,3.0,Real Bed,110.00,t,9.7,f,flexible
